Model,ROC-AUC,PR-AUC,holdout_roc_auc,holdout_pr_auc,holdout_precision,holdout_recall,recall_at_fpr_1pct,precision_optimal_threshold
LightGBM,0.9712264957264958,0.8620295437056813,0.9972584675180456,0.869678692731398,0.8571428571428571,0.75,0.9375,0.09999999999999999
XGBoost,0.9580320512820514,0.8334964764855579,0.9985771793448084,0.8879803203332615,0.7777777777777778,0.875,1.0,0.09999999999999999
Stacking Ensemble,0.9266367521367522,0.7854608548034043,0.9975013881177124,0.8484533542437954,0.7647058823529411,0.8125,0.875,0.98
ExtraTrees,0.9513846153846154,0.7328302255766386,0.9916365907828983,0.7475920571307741,0.5652173913043478,0.8125,0.8125,0.41000000000000003
RandomForest,0.9659925213675213,0.6818818638931582,0.9897626318711826,0.7277929373231325,0.48148148148148145,0.8125,0.8125,0.29000000000000004
MLP,0.9317777777777777,0.6214361098652555,0.9968073292615214,0.8145611719721626,0.6842105263157895,0.8125,0.9375,0.32
LogisticRegression,0.9440448717948718,0.40092580330783895,0.991046640755136,0.5480394976363058,0.37142857142857144,0.8125,0.6875,0.91
DecisionTree,0.7580544871794872,0.09871630925157877,0.8616740699611327,0.16009616777220984,0.21052631578947367,0.75,0.0,0.01
